匹配键(supplier|品名|金额|数量),组内份数(recon+exnew),recon_fix_id,recon_budget_order_id,recon_订单号,recon_订单status,recon_供应商,recon_品名,recon_金额,recon_数量,recon_source_id,exnew_id,exnew_budget_order_id,exnew_订单号,exnew_订单status,exnew_供应商,exnew_品名,exnew_金额,exnew_数量,exnew_source_id,是否draft订单涉及
旺泽布行 | 海豹棕 | 134482.5 | 5379.3,2,a18b534b-e0bb-4039-ae0f-8deecd18ff15,a5b2ee36-94a4-41de-a1aa-4718a2124d09,BO-202607-0053,draft,旺泽布行,海豹棕,134482.5,5379.3,"{""sheet"":""545"",""note"":""纠正性重导入-类目差额补漏""}",23d0040d-3606-431b-8333-8caa51f64063,a1ee9913-708a-4ce9-b654-1162fa1dfe5e,545,draft,旺泽布行,海豹棕,134482.5,5379.3,545,Y
锦丰布行 | 薰衣草 | 22577.7 | 969,2,a80c0007-3def-41ac-902a-632280972150,5ebce63e-6067-4e0a-89ee-1cf91ea87854,BO-202607-0060,draft,锦丰布行,薰衣草,22577.7,969,"{""sheet"":""540"",""note"":""纠正性重导入-类目差额补漏""}",9db8dd82-3b15-45ed-adf2-4103b63e66c4,dbe9d8e6-49c6-4ff7-9491-48c8220582b7,540,draft,锦丰布行,薰衣草,22577.7,969,540,Y
佳荣织带 | 织带和染色费 | 1461.62 | 0,2,aad3ab74-23f6-4c3a-9dc2-8b64a292e467,04ef2853-98a1-4d72-9c10-57f39a51d8e7,BO-202604-0003,approved,佳荣织带,织带和染色费,1461.62,0,"{""sheet"":""511B"",""note"":""纠正性重导入-类目差额补漏""}",27d4f263-6ed8-4ab6-8521-88854349301a,3b213237-a04d-49e6-9916-b92dfdfe5fa1,511B,draft,佳荣织带,织带和染色费,1461.62,0,511B,Y
小陈制袋 | 挂衣带 | 461 | 572,2,ad550f1f-cb8d-43b7-8a7e-5eaee66916a3,9dd2b839-70a2-417e-8108-82d58b06b403,BO-202607-0054,draft,小陈制袋,挂衣带,461,572,"{""sheet"":""544B"",""note"":""纠正性重导入-类目差额补漏""}",9139eb9a-e1e0-49dc-a9eb-4e5720f21a6c,8388b1a2-7993-4650-8085-402eb3029616,544B,draft,小陈制袋,挂衣带,461,572,544B,Y
小陈制袋 | 单包袋30*35+4 | 975.8 | 8200,2,adb2ff8b-55f8-4597-a0a2-fc754a717f4f,772f9be2-7dab-405d-a374-2cd36646315c,BO-202607-0058,draft,小陈制袋,单包袋30*35+4,975.8,8200,"{""sheet"":""543"",""note"":""纠正性重导入-类目差额补漏""}",01de533d-e05f-4361-a31c-762ff1132441,dab194db-6fdd-410f-ac68-611f11a443a8,543,draft,小陈制袋,单包袋30*35+4,975.8,8200,543,Y
连云港中伟塑料制品有限公司 | 衣架+尺码粒 | 6301.2 | 5340,2,ae8ae16d-b70e-4969-ae97-9af950d39f40,896c0189-ca9c-4850-a59c-3119585c93d2,BO-202607-0057,draft,连云港中伟塑料制品有限公司,衣架+尺码粒,6301.2,5340,"{""sheet"":""543B"",""note"":""纠正性重导入-类目差额补漏""}",a6ebfb22-e2cd-41d2-a21b-8fccf0b8c2fb,d3b7cdd6-c01d-4590-b3cc-312dbeaff59b,543B,draft,连云港中伟塑料制品有限公司,衣架+尺码粒,6301.2,5340,543B,Y
 | CI-54物流费 | 580 | 0,2,b0f4a278-f524-4fcd-ada0-39c8e376989e,c8cd1a87-d1be-400e-9b19-99177acac0f7,BO-202604-0002,approved,,CI-54物流费,580,0,"{""sheet"":""511"",""note"":""纠正性重导入-类目差额补漏""}",5d062dd6-468f-4039-8f9e-c59168854018,ccdbeb13-710e-4d2e-b0ee-f63cd7c295a9,511,draft,,CI-54物流费,580,0,511,Y
顺龙拉链 | 黑色3号拉链 | 1872 | 10400,2,b2822467-a704-4c71-9b4f-03b485bc8326,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,顺龙拉链,黑色3号拉链,1872,10400,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",1d584ea8-6046-4d9a-b343-d927147e8111,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,顺龙拉链,黑色3号拉链,1872,10400,542,Y
顺龙拉链 | 3号绯紫拉链 | 474.62 | 2498,2,b319e5df-ac53-477b-88ec-b76925abd5dc,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,顺龙拉链,3号绯紫拉链,474.62,2498,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",290c95fd-7e76-4a49-91f6-ead2c26a2acf,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,顺龙拉链,3号绯紫拉链,474.62,2498,527,Y
中阳烫标 | 烫标 | 934.02 | 10378,2,b3e59e55-bdfe-4d51-ba6c-d7473d006da9,896c0189-ca9c-4850-a59c-3119585c93d2,BO-202607-0057,draft,中阳烫标,烫标,934.02,10378,"{""sheet"":""543B"",""note"":""纠正性重导入-类目差额补漏""}",4654e44d-91c0-4e6a-ae50-061eb8763db2,d3b7cdd6-c01d-4590-b3cc-312dbeaff59b,543B,draft,中阳烫标,烫标,934.02,10378,543B,Y
顺龙拉链 | 3号郁紫色拉链 | 475 | 2500,2,b80b7f70-5e98-4caf-9e88-da229714a320,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,顺龙拉链,3号郁紫色拉链,475,2500,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",23ab4691-6a0a-4467-b153-87915f80a46c,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,顺龙拉链,3号郁紫色拉链,475,2500,527,Y
傲狐服饰 | 0609P23-00 | 56764.8 | 7776,3,b91e6310-e57d-4c38-8dca-f17a5e7da8dc,772f9be2-7dab-405d-a374-2cd36646315c,BO-202607-0058,draft,傲狐服饰,0609P23-00,56764.8,7776,"{""sheet"":""543"",""note"":""纠正性重导入-类目差额补漏""}",54c3a1d0-8d9b-4f59-8906-f97fedf4dc45,dab194db-6fdd-410f-ac68-611f11a443a8,543,draft,傲狐服饰,0609P23-00,56764.8,7776,543,Y
傲狐服饰 | 0609P23-00 | 56764.8 | 7776,3,b91e6310-e57d-4c38-8dca-f17a5e7da8dc,772f9be2-7dab-405d-a374-2cd36646315c,BO-202607-0058,draft,傲狐服饰,0609P23-00,56764.8,7776,"{""sheet"":""543"",""note"":""纠正性重导入-类目差额补漏""}",d5f4ecce-42fd-4b3d-97bc-5d1f01be7c31,3197bade-15bd-42d1-a9a4-aa458a128dcf,Invoice71（1022939订单）,draft,傲狐服饰,0609P23-00,56764.8,7776,Invoice71（1022939订单）,Y
小陈制袋 | 挂衣带 | 4276 | 5296,2,bcb8c56d-99ed-4433-83b9-110a05b94bb9,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,小陈制袋,挂衣带,4276,5296,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",94ee9338-9825-4fed-910d-02db16a6d78f,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,小陈制袋,挂衣带,4276,5296,542,Y
中阳烫标 | 烫标 | 1664.7 | 26850,2,bcf1a020-ca8d-4d39-94a7-d17e03cd0145,5ebce63e-6067-4e0a-89ee-1cf91ea87854,BO-202607-0060,draft,中阳烫标,烫标,1664.7,26850,"{""sheet"":""540"",""note"":""纠正性重导入-类目差额补漏""}",b670055a-eb1a-4fb9-8f12-7efbefcb7082,dbe9d8e6-49c6-4ff7-9491-48c8220582b7,540,draft,中阳烫标,烫标,1664.7,26850,540,Y
优彩包装 | 4款腰卡 | 359.84 | 6920,3,bd8a6061-1499-4699-aac1-dcea2c1c3964,9dd2b839-70a2-417e-8108-82d58b06b403,BO-202607-0054,draft,优彩包装,4款腰卡,359.84,6920,"{""sheet"":""544B"",""note"":""纠正性重导入-类目差额补漏""}",7ef9b748-8772-4099-b280-3a5f17f8b7be,8388b1a2-7993-4650-8085-402eb3029616,544B,draft,优彩包装,4款腰卡,359.84,6920,544B,Y
优彩包装 | 4款腰卡 | 359.84 | 6920,3,bd8a6061-1499-4699-aac1-dcea2c1c3964,9dd2b839-70a2-417e-8108-82d58b06b403,BO-202607-0054,draft,优彩包装,4款腰卡,359.84,6920,"{""sheet"":""544B"",""note"":""纠正性重导入-类目差额补漏""}",85885e2e-33fa-4331-9753-31a5328fbec6,f3025c58-724f-44ae-8699-3bd60c4ba159,534B订单,draft,优彩包装,4款腰卡,359.84,6920,534B,Y
 | 货代费 | 12000 | 0,2,be92b33b-0b59-448f-9300-3efb1068517a,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,,货代费,12000,0,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",af1b07ad-036c-4409-bfc0-87a4a9ce6505,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,,货代费,12000,0,542,Y
小陈制袋 | 中包袋46*43+8 | 294 | 1400,2,c03f2f8f-ea25-4d2f-9d83-f5e39fc49f21,772f9be2-7dab-405d-a374-2cd36646315c,BO-202607-0058,draft,小陈制袋,中包袋46*43+8,294,1400,"{""sheet"":""543"",""note"":""纠正性重导入-类目差额补漏""}",fd81ab6a-8425-4e41-b9fe-a980a9829f3a,dab194db-6fdd-410f-ac68-611f11a443a8,543,draft,小陈制袋,中包袋46*43+8,294,1400,543,Y
楚逸织带 | 运费 | 23 | 0,2,c50c2349-ae2b-4379-a42f-2af1e785542b,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,楚逸织带,运费,23,0,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",725c1cf7-0291-4172-9a68-b63287429bd8,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,楚逸织带,运费,23,0,527,Y
中阳烫标 | 烫标 | 10.98 | 122,2,c56abc96-f5ac-4f94-b40c-ea62f9861bad,896c0189-ca9c-4850-a59c-3119585c93d2,BO-202607-0057,draft,中阳烫标,烫标,10.98,122,"{""sheet"":""543B"",""note"":""纠正性重导入-类目差额补漏""}",e5c620ca-ec3f-48e7-b38e-7a566a1ac94b,d3b7cdd6-c01d-4590-b3cc-312dbeaff59b,543B,draft,中阳烫标,烫标,10.98,122,543B,Y
顺龙拉链 | 染色费 | 450 | 3,2,ca548a07-6876-445e-8902-eee02e06695d,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,顺龙拉链,染色费,450,3,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",db32f0f1-735d-4fc7-b08a-8b23fafdbe1b,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,顺龙拉链,染色费,450,3,527,Y
旺泽布行 | 黑色 | 130418.4 | 5434.1,2,cad47b27-1e08-489e-b211-f659f7d6a2be,50dc6eae-0366-4c1a-867a-4992725b22a5,BO-202607-0055,draft,旺泽布行,黑色,130418.4,5434.1,"{""sheet"":""544"",""note"":""纠正性重导入-类目差额补漏""}",1e4b32ae-d969-415a-883b-70013f160381,39cbf523-912f-4fe7-a880-35927da2cda8,544,draft,旺泽布行,黑色,130418.4,5434.1,544,Y
优彩包装 | COZY PANT圆形吊牌 | 1386.2 | 69310,2,cb67afa7-0d70-4256-af31-d57ada7a046a,a5b2ee36-94a4-41de-a1aa-4718a2124d09,BO-202607-0053,draft,优彩包装,COZY PANT圆形吊牌,1386.2,69310,"{""sheet"":""545"",""note"":""纠正性重导入-类目差额补漏""}",e3456ac5-81d9-472b-9f33-e5539f3aa0d1,a1ee9913-708a-4ce9-b654-1162fa1dfe5e,545,draft,优彩包装,COZY PANT圆形吊牌,1386.2,69310,545,Y
纺冠网纱 | 网纱 | 286.37 | 0,7,cc3430a8-33e4-45db-b828-c3f7525ac150,04ef2853-98a1-4d72-9c10-57f39a51d8e7,BO-202604-0003,approved,纺冠网纱,网纱,286.37,0,"{""sheet"":""511B"",""note"":""纠正性重导入-类目差额补漏""}",21e9cc74-f0f1-4ff3-8936-fc8677126973,271e6762-4391-46f4-8be8-d463ab49932d,533B,draft,纺冠网纱,网纱,286.37,0,533B,Y
纺冠网纱 | 网纱 | 286.37 | 0,7,cc3430a8-33e4-45db-b828-c3f7525ac150,04ef2853-98a1-4d72-9c10-57f39a51d8e7,BO-202604-0003,approved,纺冠网纱,网纱,286.37,0,"{""sheet"":""511B"",""note"":""纠正性重导入-类目差额补漏""}",25607b21-3d36-4af5-b8fa-e993630b6a3d,a9b4fe11-147a-48a8-8270-dd74c66586da,512B订单,draft,纺冠网纱,网纱,286.37,0,512B,Y
纺冠网纱 | 网纱 | 286.37 | 0,7,cc3430a8-33e4-45db-b828-c3f7525ac150,04ef2853-98a1-4d72-9c10-57f39a51d8e7,BO-202604-0003,approved,纺冠网纱,网纱,286.37,0,"{""sheet"":""511B"",""note"":""纠正性重导入-类目差额补漏""}",26b3d2b8-d97d-42f0-95bb-94f12e912328,f3025c58-724f-44ae-8699-3bd60c4ba159,534B订单,draft,纺冠网纱,网纱,286.37,0,534B,Y
纺冠网纱 | 网纱 | 286.37 | 0,7,cc3430a8-33e4-45db-b828-c3f7525ac150,04ef2853-98a1-4d72-9c10-57f39a51d8e7,BO-202604-0003,approved,纺冠网纱,网纱,286.37,0,"{""sheet"":""511B"",""note"":""纠正性重导入-类目差额补漏""}",47d4382c-af0f-4279-a948-2a77d7dedef3,63e892b3-bead-4019-8e32-40ac61c318f0,531订单,draft,纺冠网纱,网纱,286.37,0,531,Y
纺冠网纱 | 网纱 | 286.37 | 0,7,cc3430a8-33e4-45db-b828-c3f7525ac150,04ef2853-98a1-4d72-9c10-57f39a51d8e7,BO-202604-0003,approved,纺冠网纱,网纱,286.37,0,"{""sheet"":""511B"",""note"":""纠正性重导入-类目差额补漏""}",649d05ea-2d5a-4544-a2f1-ad4668e05e83,3b213237-a04d-49e6-9916-b92dfdfe5fa1,511B,draft,纺冠网纱,网纱,286.37,0,511B,Y
纺冠网纱 | 网纱 | 286.37 | 0,7,cc3430a8-33e4-45db-b828-c3f7525ac150,04ef2853-98a1-4d72-9c10-57f39a51d8e7,BO-202604-0003,approved,纺冠网纱,网纱,286.37,0,"{""sheet"":""511B"",""note"":""纠正性重导入-类目差额补漏""}",e06d86f0-5f13-484c-b489-ce1b4d6a7cb5,3786d61a-be1a-44a9-8f82-36629a44795b,534订单,draft,纺冠网纱,网纱,286.37,0,534,Y
小陈制袋 | 挂衣带 | 712 | 882,2,cfb4382c-586b-4f81-a547-0fd330e5693a,896c0189-ca9c-4850-a59c-3119585c93d2,BO-202607-0057,draft,小陈制袋,挂衣带,712,882,"{""sheet"":""543B"",""note"":""纠正性重导入-类目差额补漏""}",e6ddb961-b8e7-4ab0-aee2-1db738a6b455,d3b7cdd6-c01d-4590-b3cc-312dbeaff59b,543B,draft,小陈制袋,挂衣带,712,882,543B,Y
优彩包装 | 24款吊牌 | 4565.38 | 63408,2,cfbd5209-cfcf-4458-887e-f257e71ebe30,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,优彩包装,24款吊牌,4565.38,63408,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",595dbe1a-054f-48eb-b39f-8745a70c1a4d,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,优彩包装,24款吊牌,4565.38,63408,542,Y
优彩包装 | 4款腰卡 | 971.36 | 18680,2,d04ac1e8-5cf6-4a27-a998-5234be263433,50dc6eae-0366-4c1a-867a-4992725b22a5,BO-202607-0055,draft,优彩包装,4款腰卡,971.36,18680,"{""sheet"":""544"",""note"":""纠正性重导入-类目差额补漏""}",78c254b3-7ebb-49c7-a497-1b2d40b3eea9,39cbf523-912f-4fe7-a880-35927da2cda8,544,draft,优彩包装,4款腰卡,971.36,18680,544,Y
荣辰纸箱 | 纸箱55*36*48 | 1010.6 | 163,2,d085df34-f4d3-4009-992a-bf4444e1bcd8,772f9be2-7dab-405d-a374-2cd36646315c,BO-202607-0058,draft,荣辰纸箱,纸箱55*36*48,1010.6,163,"{""sheet"":""543"",""note"":""纠正性重导入-类目差额补漏""}",63d7ee42-fde8-4252-a21c-acfb11054851,dab194db-6fdd-410f-ac68-611f11a443a8,543,draft,荣辰纸箱,纸箱55*36*48,1010.6,163,543,Y
佳荣织带 | 织带和染色费 | 1492.04 | 0,2,d0ca5432-d7cd-43f0-83f6-9c3c3853d8bf,b3d428de-1f20-46ff-9ea8-34062f60f990,BO-202604-0068,approved,佳荣织带,织带和染色费,1492.04,0,"{""sheet"":""510"",""note"":""纠正性重导入-类目差额补漏""}",8a0f9da1-cfa0-4ab3-8d1f-46fea08389a3,ed08b921-c4d1-45ca-ac82-f5ca4733e6ae,510,draft,佳荣织带,织带和染色费,1492.04,0,510,Y
 | CI-57货代费 | 2510.65 | 0,2,d457dbcf-c9d1-40ee-8bb0-7c8cf76d74b0,20ba2afd-afdb-42d4-8b41-f86dc37f8eee,BO-202604-0018,draft,,CI-57货代费,2510.65,0,"{""sheet"":""518"",""note"":""纠正性重导入-类目差额补漏""}",219992b9-7e21-401e-b89d-6b4af19d69ca,eabb1b9c-1a21-4cb3-b496-44a5c81e67d3,518,draft,,CI-57货代费,2510.65,0,518,Y
华航布行 | 绯紫 | 12774.6 | 543.6,2,d8d3cd54-2b28-4be8-87fc-8bd7a058b385,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,华航布行,绯紫,12774.6,543.6,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",30b55997-0f9c-42f9-ab4f-5bda2400f176,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,华航布行,绯紫,12774.6,543.6,527,Y
优彩包装 | 主吊牌 | 3812.05 | 69310,2,dcf55c91-b2c8-495d-9c3a-cfae4573c31a,a5b2ee36-94a4-41de-a1aa-4718a2124d09,BO-202607-0053,draft,优彩包装,主吊牌,3812.05,69310,"{""sheet"":""545"",""note"":""纠正性重导入-类目差额补漏""}",8776c8d9-281d-412a-9f21-ad9de21d3b05,a1ee9913-708a-4ce9-b654-1162fa1dfe5e,545,draft,优彩包装,主吊牌,3812.05,69310,545,Y
优彩包装 | UV通用主吊卡 | 1210 | 22000,2,e22dc608-7959-431d-9a7e-9b295295ca96,50dc6eae-0366-4c1a-867a-4992725b22a5,BO-202607-0055,draft,优彩包装,UV通用主吊卡,1210,22000,"{""sheet"":""544"",""note"":""纠正性重导入-类目差额补漏""}",fd2deca9-285e-4d99-95c3-69fbe8559e68,39cbf523-912f-4fe7-a880-35927da2cda8,544,draft,优彩包装,UV通用主吊卡,1210,22000,544,Y
纺冠网纱 | 黑色网纱 | 2648.6 | 101.87,3,e7c511f8-c8e3-4ead-aa0c-c21bb67f2baf,a5b2ee36-94a4-41de-a1aa-4718a2124d09,BO-202607-0053,draft,纺冠网纱,黑色网纱,2648.6,101.87,"{""sheet"":""545"",""note"":""纠正性重导入-类目差额补漏""}",43b285b5-44ae-4634-b17b-a299cb047d0f,a1ee9913-708a-4ce9-b654-1162fa1dfe5e,545,draft,纺冠网纱,黑色网纱,2648.6,101.87,545,Y
纺冠网纱 | 黑色网纱 | 2648.6 | 101.87,3,e7c511f8-c8e3-4ead-aa0c-c21bb67f2baf,a5b2ee36-94a4-41de-a1aa-4718a2124d09,BO-202607-0053,draft,纺冠网纱,黑色网纱,2648.6,101.87,"{""sheet"":""545"",""note"":""纠正性重导入-类目差额补漏""}",8c996145-09f0-4c89-bcf6-ee3eb299c60e,39cbf523-912f-4fe7-a880-35927da2cda8,544,draft,纺冠网纱,黑色网纱,2648.6,101.87,544,Y
顺龙拉链 | 3号绿色拉链 | 474.62 | 2498,2,e892e9d6-58ec-4ea7-ba44-67dd08d7fe8f,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,顺龙拉链,3号绿色拉链,474.62,2498,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",784db6e9-f3fd-4e50-94de-5df65b6d1964,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,顺龙拉链,3号绿色拉链,474.62,2498,527,Y
荣辰纸箱 | 天地盖 | 240 | 1600,2,e8d65d20-3436-4a64-a05f-7c0ea176abdf,9dd2b839-70a2-417e-8108-82d58b06b403,BO-202607-0054,draft,荣辰纸箱,天地盖,240,1600,"{""sheet"":""544B"",""note"":""纠正性重导入-类目差额补漏""}",8d23457c-1e99-4780-aff1-6c6728ff180e,8388b1a2-7993-4650-8085-402eb3029616,544B,draft,荣辰纸箱,天地盖,240,1600,544B,Y
傲狐服饰 | 0609P21-00喇叭裤 | 17952 | 2640,2,ea661eb2-dbb9-4197-acfa-402c77f69b27,50dc6eae-0366-4c1a-867a-4992725b22a5,BO-202607-0055,draft,傲狐服饰,0609P21-00喇叭裤,17952,2640,"{""sheet"":""544"",""note"":""纠正性重导入-类目差额补漏""}",20d03b08-b4bb-471f-a44d-aa536f185fda,39cbf523-912f-4fe7-a880-35927da2cda8,544,draft,傲狐服饰,0609P21-00喇叭裤,17952,2640,544,Y
优彩包装 | 12款腰卡 | 1937.09 | 26904,2,eb664fad-aa0c-484f-a216-590c6f02a5ea,5ebce63e-6067-4e0a-89ee-1cf91ea87854,BO-202607-0060,draft,优彩包装,12款腰卡,1937.09,26904,"{""sheet"":""540"",""note"":""纠正性重导入-类目差额补漏""}",c40b1a09-b988-4bab-b58f-2de2dd79fcc3,dbe9d8e6-49c6-4ff7-9491-48c8220582b7,540,draft,优彩包装,12款腰卡,1937.09,26904,540,Y
优彩包装 | 4款吊牌 | 760.9 | 10568,2,eb770620-8993-44ce-9b38-fafc9d3bd40d,896c0189-ca9c-4850-a59c-3119585c93d2,BO-202607-0057,draft,优彩包装,4款吊牌,760.9,10568,"{""sheet"":""543B"",""note"":""纠正性重导入-类目差额补漏""}",606bf6f4-75bd-4bca-9a26-ef0f97faa660,d3b7cdd6-c01d-4590-b3cc-312dbeaff59b,543B,draft,优彩包装,4款吊牌,760.9,10568,543B,Y
荣辰纸箱 | 纸箱65*42*33 | 1404 | 216,2,ebf5cfd5-b782-4e34-ae3f-a3798d57eddf,896c0189-ca9c-4850-a59c-3119585c93d2,BO-202607-0057,draft,荣辰纸箱,纸箱65*42*33,1404,216,"{""sheet"":""543B"",""note"":""纠正性重导入-类目差额补漏""}",4fa88f09-7902-4f08-bce6-ce41da1084d7,d3b7cdd6-c01d-4590-b3cc-312dbeaff59b,543B,draft,荣辰纸箱,纸箱65*42*33,1404,216,543B,Y
傲狐服饰 | 0203KS07-00134 | 38140.8 | 3288,3,ed6e8d73-05fe-495a-a8fe-5fd87b73bdd2,5ebce63e-6067-4e0a-89ee-1cf91ea87854,BO-202607-0060,draft,傲狐服饰,0203KS07-00134,38140.8,3288,"{""sheet"":""540"",""note"":""纠正性重导入-类目差额补漏""}",d0989f70-db75-4b5e-872a-88f67eaf7544,90844c4b-c639-4b93-8dd4-37d5c4552576,Invoice69（1022935订单）,draft,傲狐服饰,0203KS07-00134,38140.8,3288,Invoice69（1022935订单）,Y
傲狐服饰 | 0203KS07-00134 | 38140.8 | 3288,3,ed6e8d73-05fe-495a-a8fe-5fd87b73bdd2,5ebce63e-6067-4e0a-89ee-1cf91ea87854,BO-202607-0060,draft,傲狐服饰,0203KS07-00134,38140.8,3288,"{""sheet"":""540"",""note"":""纠正性重导入-类目差额补漏""}",ea2f3277-0ed9-4c6f-9777-1508652a610d,dbe9d8e6-49c6-4ff7-9491-48c8220582b7,540,draft,傲狐服饰,0203KS07-00134,38140.8,3288,540,Y
 | 物流费 | 2000 | 0,3,f18c2ebe-5acb-408f-bf3b-da57568f44f4,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,,物流费,2000,0,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",2b20168b-a00a-417d-8159-013c1db10277,bb6313f6-a5df-4466-9bb4-1866e80dc25e,491,draft,,物流费,2000,0,491,Y
 | 物流费 | 2000 | 0,3,f18c2ebe-5acb-408f-bf3b-da57568f44f4,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,,物流费,2000,0,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",fe876b33-92b8-463d-8aa4-ce1e255014ba,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,,物流费,2000,0,542,Y
中阳烫标 | 烫标 | 5609.52 | 62328,2,f308e6a2-9f0e-406b-bb8a-260d2a4f25db,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,中阳烫标,烫标,5609.52,62328,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",6d79fb76-92eb-4a15-8443-a7c665299595,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,中阳烫标,烫标,5609.52,62328,542,Y
傲狐服饰 | 0107KL07-00235 | 74649.6 | 5184,2,f44cd1de-4996-4fcf-8276-e70054c9b30b,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,傲狐服饰,0107KL07-00235,74649.6,5184,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",3fb94393-e0ce-4096-9cc2-6a4048599edd,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,傲狐服饰,0107KL07-00235,74649.6,5184,542,Y
顺龙拉链 | 3号黑色拉链 | 1849.65 | 9735,2,f8c1b418-6f86-4ef8-83de-83499bf9578b,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,顺龙拉链,3号黑色拉链,1849.65,9735,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",411ae195-15a1-43d0-acfe-be4758a1c276,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,顺龙拉链,3号黑色拉链,1849.65,9735,527,Y
小陈制袋 | 中包袋46*43+8 | 2415 | 11500,2,fa697e62-57a9-4ef2-998f-4fbd7dddfc71,a5b2ee36-94a4-41de-a1aa-4718a2124d09,BO-202607-0053,draft,小陈制袋,中包袋46*43+8,2415,11500,"{""sheet"":""545"",""note"":""纠正性重导入-类目差额补漏""}",c76cdb9b-dba9-4266-a46c-397436bb784f,a1ee9913-708a-4ce9-b654-1162fa1dfe5e,545,draft,小陈制袋,中包袋46*43+8,2415,11500,545,Y
